,국가,대학교명,번역,분류,번역_전처리,5분류,요약
15,한국,Ajou,"아주대학교의료원이 환경부 주관 ‘감염 우려 의료폐기물 처리 기술개발사업’에 선정되었다. 해당 사업은 아주대학교의료원, 우정바이오, LG전자, 콩테크 총 4개 기관이 컨소시엄으로 참여했으며, 4년간 총 연구비 91.3억원을 지원받는다. 이번 연구사업은 자율주행 로봇을 개발해 고위험 의료환경에서 비대면으로 감염 위험 의료폐기물을 자동화 처리하는 기술 개발을 위한 사업으로, 최근 코로나19와 같이 생명을 위협하는 고위험 감염상황에서 의료진과 환자를 감염으로부터 안전하게 보호하는 데 목적을 두고 있다. 이번 연구사업을 통해 감염성 고위험 의료폐기물 처리 로봇이 개발되면, 감염 위험이 높은 음압격리구역의 의료폐기물의 수거 및 하역을 안전하게 시행하며, 웹(web) 혹은 앱(application)을 통한 추적관리로 의료 기관 내 감염균 2차 확산을 방지할 것으로 기대한다. 자율주행 로봇의 외부 살균 소독 시스템도 갖출 예정이며, 자율주행 로봇이 개발되면 아주대학교의료원, 아주대학교 요양병원, 경기도의료원에서 시험 운행을 할 예정이다. 최근 다양한 다재내성균의 감염뿐 아니라 사스, 메르스, 코로나19 등 연이은 신종 바이러스 감염병 발생 으로 감염병 환자가 늘면서 고위험 감염 격리의료폐기물 또한 증가하여 이에 대한 안전한 처리 시스템의 구축이 절실한 상황이다. 실제로 최근 한 병원에서 의료폐기물 관리 근로자가 코로나19에 감염된 사례가 발생한 바 있다.",12,"아주대학교 의료원이 환경부 주관 감염 우려 의료폐기물 처리기술 개발사업에 선정되었다. 해당 사업은 아주대학교 의료원, 우정바이오, LG전자, 콩테크 총 4개 기관이 컨소시엄으로 참여했으며, 4년간 총연구비 91.3억원을 지원받는다.이번 연구사업은 자율주행 로봇을 개발해 고위험 의료환경에서 비대면으로 감염 위험의료 폐기물을 자동화 처리하는 기술개발을 위한 사업으로, 최근 코로나 19와 같이 생명을 위협하는 고위험 감염 상황에서 의료진과 환자를 감 염으로부터 안전하게 보호하는 데 목적을 두고 있다. 이번 연구사업을 통해 감염성 고위험 의료 폐기물 처리로봇이 개발되면, 감염 위험이 높은 음압격리구역의 의료폐기물의 수거 및 하역을 안전하게 시행하며, 웹web 혹은 앱 application을 통한 추적관리로 의료기관 내 감염균 2차 확산을 방지할 것으로 기대한다. 자율주행 로봇의 외부 살균소독 시스템도 갖출 예정이며, 자율주행 로봇이 개발되면 아주대학교 의료원, 아주대학교 요양병원, 경기도의료원에 서 시험 운행을 할 예정이다.최근 다양한 다재내성균의 감염뿐 아니라 사스, 메르스, 코로나 19등 연이은 신종 바이러스 감염병 발생으로 감염병 환자가 늘면서 고위험 감염 격리 의료 폐기물 또한 증가하여 이에 대한 안전한 처리시스템의 구축이 절실한 상황이다. 실제로 최근 한 병원에서 의료폐기물 관리 근로자가 코로나 19에 감염된 사례가 발생한 바 있다.",2," 연구사업은 자율주행 로봇을 개발해 고위험 의료환경에서 비대면으로 감염 위험의료 폐기물을 자동화 처리하는 기술개발을 위한 사업으로, 최근 코로나 19와 같이 생명을 위협하는 고위험 감염 상황에서 의료진과 환자를 감 염으로부터 안전하게 보호하는 데 목적을 두고 있다. 이번 연구사업을 통해 감염성 고위험 의료 폐기물 처리로봇이 개발되면, 감염 위험이 높은 음압격리구역의 의료폐기물의 수거 및 하역을 안전하게 시행하며, 웹web 혹은 앱 application을 통한 추적관리로 의료기관 내 감염균 2차 확산을 방지할 것으로 기대한다. 자율주행 로봇의 외부 살균소독 시스템도 갖출 예정이며, 자율주행 로봇이 개발되면 아주대학교 의료원, 아주대학교 요양병원, 경기도의료원에 서 시험 운행을 할 예정이다"
60,한국,Kangwon,미생물 투여를 통한 수질 관리를 통해 수생환경 개선 노력,14,미생물 투여를 통한 수질관리를 통해 수생환경 개선 노력,2,미생물 투여를 통한 수질관리를 통해 수생환경 개선 노력
9,한국,Seoul,"태양광 설치 건물의 전력에너지 자립률
∙ 전력에너지 자립률은 연간발전량을 연간소비량과 연간
발전량의 합으로 나눈 값으로, 관악캠퍼스 전체의 에너
지 자립율은 매년 올라가고 있습니다. 태양광 설치 건
물 중 가장 높은 자립율을 보이는 건물은 체육문화교육
연구동(71-1동)으로, 약 40%의 가장 높은 자립률을 보
이고 있습니다.",13,"태양광 설치 건물의 전력에너지 자립률 전력에너지 자립률은 연간 발전량을 연간 소비량과 연간 발전량의 합으로 나눈 값으로, 관악캠퍼스 전체의 에너지 자립율은 매년 올라가고 있습니다. 태양광 설치 건물 중 가장 높은 자립율을 보이는 건물은 체육문화교육연구동 711동으로, 약 40의 가장 높은 자립률을 보이고 있습니다.",2,"태양광 설치 건물의 전력에너지 자립률 전력에너지 자립률은 연간 발전량을 연간 소비량과 연간 발전량의 합으로 나눈 값으로, 관악캠퍼스 전체의 에너지 자립율은 매년 올라가고 있습니다. 태양광 설치 건물 중 가장 높은 자립율을 보이는 건물은 체육문화교육연구동 711동으로, 약 40의 가장 높은 자립률을 보이고 있습니다."
71,한국,Kangwon,생육공간 개선 및 산불 등 재해위험 요소 제거를 통한 산림자원 관리,15,생육공간 개선 및 산불 등재해위험요소 제거를 통한 산림자원관리,2,생육공간 개선 및 산불 등재해위험요소 제거를 통한 산림자원관리
18,한국,Ajou,"아주대학교 지역사회 문제해결 창업동아리 ‘초록’이 생활 폐기물 문제 해결을 위한 ‘2021 청년아이디어톤’ 대회를 개최했다. 아이디어톤(Ideathon)이란 아이디어(Idea)와 마라톤(Marathon)의 합성어로 제한된 시간 내에 아이디어를 도출하여 발표하는 대회를 말한다. 이번 대회는 ‘생활폐기물 문제 해결’을 주제로 ▲생활 폐기물 문제 해결 기술 ▲생활 폐기물 문제 해결 정책 두 개 부문에서 아이디어를 공모했다. 기술 부문 대상은 ‘아두이노(Arduino)를 이용한 폐기물 수거 차량 PIR 센서’를 제안한 ‘안전지키미’ 팀이 수상하였다. ‘안전지키미’ 팀은 폐기물 수거 차량의 회전판에 작업자의 신체가 끼는 등의 사고를 예방하기 위해 차량에 인체 감지 센서를 부착하는 기술을 제안하였다. 정책 부문에서는 ‘지한힘내’ 팀이 ‘배달음식 일회용 용기의 대체와 재사용을 위한 방법’ 아이디어로 대상을 수상하였다. ‘지한힘내’ 팀은 공병 보증금 반환제도와 같이, 소비자들이 가까운 편의점이나 마트에 배달 음식 그릇을 반환하면 일정한 금액을 받는 아이디어를 제시하였다. 선정된 우수 아이디어는 수원시에서 실현 가능성 등을 검토해 정책 수립에 반영하고, 제품 개발 및 컨설팅 등의 사업화를 지원할 계획이다. 대회를 준비한 ‘초록’의 이태현(아주대학교 기계공학과 4학년) 회장은 “청년 아이디어톤 대회는 끝났지만 사회를 생각하는 청년들의 마음가짐으로 만들어질 사회의 밝은 내일은 이제 시작이라고 생각한다”며 “앞으로 청년들이 지역사회의 문제와 사회적 가치실현에 더욱 많은 관심을 가지면 좋겠다”라고 말했다. 한편 이번 대회는 아주대학교와 수원시가 주최했으며 아주대학교 재학생들로 구성된 지역사회 문제해결 창업동아리 ‘초록’이 주관했다",12,"아주대학교 지역사회 문제 해결 창업동아리 초록이 생활폐기물 문제 해결을 위한 2021 청년 아이디어톤 대회를 개최했다. 아이디어톤 Ideathon이란 아이디어 Idea와 마라톤 Marathon의 합성어로 제한된 시간 내에 아이디어를 도출하여 발표하는 대회를 말한다.이번 대회는 생활폐기물 문제 해결을 주제로 생활폐기물 문제 해결기술 생활폐기물 문제 해결 정책 두 개 부문에서 아이디어를 공모했다.기술 부문 대상은 아두이노A rdu ino를 이용한 폐 기물수거 차량 PIR 센서를 제안한 안전지키미팀이 수상하였다. 안전지키미팀은 폐기물 수거차량의 회전판에 작업자의 신체가 끼는 등의 사고를 예방하기 위해 차량에 인체감지 센서를 부착하는 기술을 제안하였다. 정책 부문에서는 지한 힘내팀이 배달음식 일회용 용기의 대체와 재사용을 위한 방법 아이디어로 대상을 수상하였다.지 한 힘내팀은 공병보증금 반환제도와 같이, 소비자들이 가까운 편의점이나 마트에 배달 음식 그릇을 반환하면 일정한 금액을 받는 아이디어를 제 시하였다. 선정된 우수 아이디어는 수원시에서 실현 가능성 등을 검토해 정책 수립에 반영하고, 제품 개발 및 컨설팅 등의 사업화를 지원할 계획이다. 대회를 준비한 초록의 이태현 아주대학교 기계공학과 4학년 회장은 청년 아이디어톤 대회는 끝났지만 사회를 생각하는 청년들의 마음가짐으로 만들어질 사회의 밝은 내일은 이제 시작이라고 생각한다며 앞으로 청년들이 지역사회의 문제와 사회적 가치 실현에 더욱 많은 관심을 가지면 좋겠다라고 말했다. 한 편 이번 대회는 아주대학 교와 수원시가 주최했으며 아주대학교 재학생들로 구성된 지역사회 문제 해결 창업동아리 초록이 주관했다",2," 한 힘내팀은 공병보증금 반환제도와 같이, 소비자들이 가까운 편의점이나 마트에 배달 음식 그릇을 반환하면 일정한 금액을 받는 아이디어를 제 시하였다. 선정된 우수 아이디어는 수원시에서 실현 가능성 등을 검토해 정책 수립에 반영하고, 제품 개발 및 컨설팅 등의 사업화를 지원할 계획이다. 대회를 준비한 초록의 이태현 아주대학교 기계공학과 4학년 회장은 청년 아이디어톤 대회는 끝났지만 사회를 생각하는 청년들의 마음가짐으로 만들어질 사회의 밝은 내일은 이제 시작이라고 생각한다며 앞으로 청년들이 지역사회의 문제와 사회적 가치 실현에 더욱 많은 관심을 가지면 좋겠다라고 말했다. 한 편 이번 대회는 아주대학 교와 수원시가 주최했으며 아주대학교 재학생들로 구성된 지역사회 문제 해결 창업동아리 초록이 주관했다"
73,한국,Kangwon,식목행사 개최. 다양한 종류의 나무 식재로 지속가능한 산림자원 조성,15,식목행사 개최. 다양한 종류의 나무 식재로 지속가능한 산림자원 조성,2,식목행사 개최. 다양한 종류의 나무 식재로 지속가능한 산림자원 조성
31,한국,Kangwon,수질오염방지（실험실 폐수 등）를 위한 관련 지침 배부,6,수질오염 방지 실험실 폐수 등를 위한 관련 지침 배부,2,수질오염 방지 실험실 폐수 등를 위한 관련 지침 배부
67,한국,Kangwon,플라스틱 성분 없는 환경 친화적 제품 제작. 친환경 재료로 만든 슬라임 완구 제작을 통한 플라스틱 성분 감소 노력,15,플라스틱 성분 없는 환경 친화적 제품 제작. 친환경 재료로 만든 슬라임 완구 제작을 통한 플라스틱 성분 감소 노력,2,플라스틱 성분 없는 환경 친화적 제품 제작. 친환경 재료로 만든 슬라임 완구 제작을 통한 플라스틱 성분 감소 노력
22,한국,Ajou,"우리 학교 생명과학과 김동영 학생이 ‘2021 대학생 생물분류 분야 논문 공모전’에서 대상을 수상했다. 환경부 국립생물자원관이 주최한 이번 공모전은 우리나라 생물 연구의 토대가 되는 생물분류학의 중요성을 알리고 자생생물 분류 전문가를 양성 하기 위해 개최되었다. ▲분류 체계분석 ▲생물종 특성(형태, 유전자 등) ▲분류 기술 등을 주제로 한 논문들을 공모됐다. 김동영 학생은 ‘한반도 공이통거미속에 대한 통합분류학적 연구 및 은둔종다양성 발굴’이라는 제목의 논문을 발표했다. 논문 지도는 생명과학과 박상규 교수가 맡았다. 논문은 한반도 고유속 통거미류를 연구 대상으로 선정, 이들 내에서 발견되는 높은 수준의 형태 및 유전적 다양성에 대해 다루고 있다. 김동영 학생은 비지도학습 머신러닝 기법을 활용한 통합분류학적 방법론을 적용해 다양성이 종 수준으로 나타나는지 정량적으로 확인하고 기존과는 다른 수정된 분류체계를 제시했다. 한편, 김동영 학생은 이번 연구를 우리 학교 생명과학과 생태학 연구실(박상규 교수)에서 학부인턴연구원 으로 진행했으며, 캡스톤 디자인 생명과학특수연구 수업의 결과를 발전시켜 발표했다.",15,"우리 학교생명과학과 김동영 학생이 2021대학생 생물분류 분야 논문 공모전에서 대상을 수상했다. 환경부 국립생물자원관이 주최한 이번 공모전은 우리나라 생물 연구의 토대가 되는 생물분류학의 중요성을 알리고자 생생물 분류 전문가를 양성하기 위해 개최되었다.분류체계 분석생물종 특성 형태, 유전자 등 분류기술 등을 주제로 한 논문들을 공모됐다. 김동영 학생은 한반도 공이통거미 속에 대한 통합분류학적 연구 및 은둔종 다양성 발굴이라는 제목의 논문을 발표했다. 논문 지도는 생명과학과 박상규 교수가 맡았다. 논문은 한반도 고유 속통거 미류를 연구 대상으로 선정, 이들 내에서 발견되는 높은 수준의 형태 및 유전적 다양성에 대해 다루고 있다. 김동영 학생은 비지도 학습 머신 러닝 기법을 활용한 통합분류학적 방법론을 적용해 다양성이 종 수준으로 나타나는 지정량적으로 확인하고 기존과는 다른 수정된 분류체계를 제시했다. 한편, 김동영 학생은 이번 연구를 우리 학교생명과학과 생태학연구실 박상규 교수에서 학부 인턴 연구원으로 진행 했으며, 캡스톤 디자인 생명과학 특수연구수업의 결과를 발전시켜 발표했다.",2," 분석생물종 특성 형태, 유전자 등 분류기술 등을 주제로 한 논문들을 공모됐다. 김동영 학생은 한반도 공이통거미 속에 대한 통합분류학적 연구 및 은둔종 다양성 발굴이라는 제목의 논문을 발표했다. 논문 지도는 생명과학과 박상규 교수가 맡았다. 논문은 한반도 고유 속통거 미류를 연구 대상으로 선정, 이들 내에서 발견되는 높은 수준의 형태 및 유전적 다양성에 대해 다루고 있다. 김동영 학생은 비지도 학습 머신 러닝 기법을 활용한 통합분류학적 방법론을 적용해 다양성이 종 수준으로 나타나는 지정량적으로 확인하고 기존과는 다른 수정된 분류체계를 제시했다. 한편, 김동영 학생은 이번 연구를 우리 학교생명과학과 생태학연구실 박상규 교수에서 학부 인턴 연구원으로 진행 했으며, 캡스톤 디자인 생명과학 특수연구수업의 결과를 발전시켜 발표했다."
32,한국,Kangwon,화장실 세면대에 절수 캠페인 스티커를 부착하여 의식적인 물 사용 권장,6,화장실 세면대에 절수 캠페인 스티커를 부착하여 의식적인 물 사용 권장,2,화장실 세면대에 절수 캠페인 스티커를 부착하여 의식적인 물 사용 권장
4,한국,Seoul,"폐기물 재활용
∙서울대학교 내의 생활폐기물 발생량 대비 재활용량으로 폐기물 재활용 비율은 2017년에는 전년대비 감소하였지만 2018년부터 꾸준한 증가 추세를 보이고 있습니다.",12,폐기물 재활용 서울대학교 내의 생활폐기물 발생량 대비 재활용량으로 폐기물 재활용 비율은 2017년에는 전년 대비 감소하였지만 2018년부터 꾸준한 증가 추세를 보이고 있습니다.,2,폐기물 재활용 서울대학교 내의 생활폐기물 발생량 대비 재활용량으로 폐기물 재활용 비율은 2017년에는 전년 대비 감소하였지만 2018년부터 꾸준한 증가 추세를 보이고 있습니다.
84,한국,Kyungpook,"인삼농가에게 한 번도 심지 않은 땅을 찾아 인삼을 빌리는 것은 수년간 농사를 짓는 큰 문제다. 그러나 지금까지 인삼이 심어진 적이 없다는 것을 과학적으로 증명하는 것은 거의 불가능했고, 지주의 말만 믿을 수 있어 갈등이 빈번하다. 토양의 미생물군집을 관찰하면 토양 미생물군집으로 토양의 미래를 예측할 수 있습니다. 연구팀이 개발한 기술은 토양 미생물을 분석하는 인공지능 알고리즘을 만들어 인삼이 심어진 적이 있는지 여부를 약 91%의 정확도로 판단할 수 있다. 더 많은 샘플을 얻는 데 더 많은 비용이 든다면 모델의 정확도를 개선할 여지가 있습니다.",15,"인삼농가에게 한 번 도심지 않은 땅을 찾아 인삼을 빌리는 것은 수년간 농사를 짓는 큰 문제다. 그러나 지금까지 인삼이 심어진 적이 없다는 것을 과학적으로 증명하는 것은 거의 불가능했고, 지주의 말만 믿을 수 있어 갈등이 빈번하다. 토양의 미생물군집을 관찰하면 토양미생물군집으로 토양의 미래를 예측할 수 있습니다. 연구팀이 개발한 기술은 토양미생물을 분석하는 인공지능 알고리즘을 만들어 인삼이 심어진 적이 있는지 여부를 약 91의 정확도로 판단할 수 있다. 더 많은 샘플 을 얻는 데 더 많은 비용이 든다면 모델의 정확도를 개선할 여지가 있습니다.",2,"인삼농가에게 한 번 도심지 않은 땅을 찾아 인삼을 빌리는 것은 수년간 농사를 짓는 큰 문제다. 그러나 지금까지 인삼이 심어진 적이 없다는 것을 과학적으로 증명하는 것은 거의 불가능했고, 지주의 말만 믿을 수 있어 갈등이 빈번하다. 토양의 미생물군집을 관찰하면 토양미생물군집으로 토양의 미래를 예측할 수 있습니다. 연구팀이 개발한 기술은 토양미생물을 분석하는 인공지능 알고리즘을 만들어 인삼이 심어진 적이 있는지 여부를 약 91의 정확도로 판단할 수 있다. 더 많은 샘플 을 얻는 데 더 많은 비용이 든다면 모델의 정확도를 개선할 여지가 있습니다."
96,한국,Kyungpook,"인삼농가에게 한 번도 심지 않은 땅을 찾아 인삼을 빌리는 것은 수년간 농사를 짓는 큰 문제다. 그러나 지금까지 인삼이 심어진 적이 없다는 것을 과학적으로 증명하는 것은 거의 불가능했고, 지주의 말만 믿을 수 있어 갈등이 빈번하다. 토양의 미생물군집을 관찰하면 토양 미생물군집으로 토양의 미래를 예측할 수 있습니다. 연구팀이 개발한 기술은 토양 미생물을 분석하는 인공지능 알고리즘을 만들어 인삼이 심어진 적이 있는지 여부를 약 91%의 정확도로 판단할 수 있다. 더 많은 샘플을 얻는 데 더 많은 비용이 든다면 모델의 정확도를 개선할 여지가 있습니다.",15,"인삼농가에게 한 번 도심지 않은 땅을 찾아 인삼을 빌리는 것은 수년간 농사를 짓는 큰 문제다. 그러나 지금까지 인삼이 심어진 적이 없다는 것을 과학적으로 증명하는 것은 거의 불가능했고, 지주의 말만 믿을 수 있어 갈등이 빈번하다. 토양의 미생물군집을 관찰하면 토양미생물군집으로 토양의 미래를 예측할 수 있습니다. 연구팀이 개발한 기술은 토양미생물을 분석하는 인공지능 알고리즘을 만들어 인삼이 심어진 적이 있는지 여부를 약 91의 정확도로 판단할 수 있다. 더 많은 샘플 을 얻는 데 더 많은 비용이 든다면 모델의 정확도를 개선할 여지가 있습니다.",2,"인삼농가에게 한 번 도심지 않은 땅을 찾아 인삼을 빌리는 것은 수년간 농사를 짓는 큰 문제다. 그러나 지금까지 인삼이 심어진 적이 없다는 것을 과학적으로 증명하는 것은 거의 불가능했고, 지주의 말만 믿을 수 있어 갈등이 빈번하다. 토양의 미생물군집을 관찰하면 토양미생물군집으로 토양의 미래를 예측할 수 있습니다. 연구팀이 개발한 기술은 토양미생물을 분석하는 인공지능 알고리즘을 만들어 인삼이 심어진 적이 있는지 여부를 약 91의 정확도로 판단할 수 있다. 더 많은 샘플 을 얻는 데 더 많은 비용이 든다면 모델의 정확도를 개선할 여지가 있습니다."
16,한국,Ajou,"아주대학교 Linc+ 사업팀은 수원시, 수원시지속 가능도시재단, 경희대학교, 단국대학교, 성균관 대학교와 함께 '2021 수원시 그린뉴딜 리빙랩 아이디어 경진대회'를 개최했다. 이번 행사는 참여 대학교 재학생 및 휴학생을 대상 으로 하며, 수원시의 환경개선(재활용품 분리배출, 쓰레기 무단투기 방지 등) 참여 유인방안, 분리 배출 관련 시민참여 활성화 방안, 쓰레기 분리 수거시설 이용 활성화 방안 등을 주제로 프로젝트를 진행하여 수원시 환경개선에 활용된다. 아주대학교는 본교가 위치한 수원시의 폐기물 정책에 일조하며 지역 상생의 문화를 확산하고자 한다",12,"아주대학교 Linc 사업팀은 수원시, 수원시 지속가능도시재단, 경희대학교, 단국대학교, 성균관대학교와 함께 2021 수원시 그린뉴딜리빙랩 아이디어 경진대회를 개최했다. 이번 행사는 참여 대학교 재학생 및 휴학생을 대상으로 하며, 수원시의 환경개선 재활용품 분리배출, 쓰레기 무단투기 방지 등 참여 유인방안, 분리배출 관련 시민참여 활성화 방안, 쓰레기 분리수거시설 이용 활성화 방안 등을 주제로 프로젝트를 진행하여 수원시 환경개선에 활용된다.아주 대학교는 본교가 위치한 수원시의 폐기물 정책에 일조하며 지역상생의 문화를 확산하고자 한다",2, 대학교는 본교가 위치한 수원시의 폐기물 정책에 일조하며 지역상생의 문화를 확산하고자 한다
59,한국,Kangwon,수질오염방지（실험실 폐수）를 위한 관련 지침 배부,14,수질오염 방지 실험실 폐수를 위한 관련 지침 배부,2,수질오염 방지 실험실 폐수를 위한 관련 지침 배부
68,한국,Kangwon,플라스틱 포장재 대체 종이 소재 개발. 소재부품 기술개발 사업 선정에 따른 플라스틱 사용 감소를 위한 연구 진행,15,플라스틱 포장재 대체종이 소재 개발.소재 부품 기술 개발사업 선정에 따른 플라스틱 사용 감소를 위한 연구 진행,2, 부품 기술 개발사업 선정에 따른 플라스틱 사용 감소를 위한 연구 진행
28,한국,Kangwon,캠퍼스의 깨끗한 수질관리를 위한 정기적 수질 검사 진행,6,캠퍼스의 깨끗한 수질관리를 위한 정기적 수질검사 진행,2,캠퍼스의 깨끗한 수질관리를 위한 정기적 수질검사 진행
33,한국,Kangwon,"깨끗한 물 공급을 위한 운동장, 출입문, 광장 등에 음수대 운영",6,"깨끗한 물 공급을 위한 운동장, 출입문, 광장 등에 음수대 운영",2,"깨끗한 물 공급을 위한 운동장, 출입문, 광장 등에 음수대 운영"
8,한국,Seoul,"태양광 발전 시설 설치 현황 및 발전량 개요
∙건축물 신축 시 신재생 에너지 의무 설치 비율 강화로 캠퍼스 내 신축 건물 태양광 발전 설비 설치가 증가하였습니다. 태양광 발전 설비 설치용량의 연간 증가율은 약 20% 내외를 유지하고 있으나, 발전 설비의 성능저하 또는 고장 등의 원인에 의하여 최근 2년 동안 발전량은 10% 증가추세를 유지하고 있습니다.",13,"태양광 발전시설 설치 현황 및 발전량 개요건축물 신축시 신재생에너지 의 무 설치 비율 강화로 캠퍼스 내 신축 건물 태양광 발전설비 설치가 증가하였습니다. 태양광 발전설비 설치 용량의 연간 증가율은 약 20내외를 유지하고 있으나, 발전설비의 성능저하 또는 고장 등의 원인에 의하여 최근 2년 동안 발전량은 10 증가 추세를 유지하고 있습니다.",2,"태양광 발전시설 설치 현황 및 발전량 개요건축물 신축시 신재생에너지 의 무 설치 비율 강화로 캠퍼스 내 신축 건물 태양광 발전설비 설치가 증가하였습니다. 태양광 발전설비 설치 용량의 연간 증가율은 약 20내외를 유지하고 있으나, 발전설비의 성능저하 또는 고장 등의 원인에 의하여 최근 2년 동안 발전량은 10 증가 추세를 유지하고 있습니다."
45,한국,Kangwon,태양광 설비를 통해 에너지 효율성 제고 및 공공요금 절감,13,태양광 설비를 통해 에너지 효율성 제고 및 공공요금 절감,2,태양광 설비를 통해 에너지 효율성 제고 및 공공요금 절감
75,한국,Kyungpook, 에너지공학과 박현웅 교수가 포항공과대학교와 공동연구를 통해 지금까지 알려지지 않은 광촉매수분해와 수소발생 원리를 규명했다. 광촉매 물 분해 반응에 대한 새로운 사실을 발견함으로써 관련 연구 분야에서 당연시 되어온 광촉매 물 분해 및 수소 발생 원리를 수정하고 수소 생산 효율을 높일 수 있는 새로운 가능성을 제시했다.,6,에너지공학과 박현웅 교수가 포항공과대학교와 공동연구를 통해 지금까지 알려지지 않은 광촉매 수분해와 수소 발생 원리를 규명했다. 광촉매물 분해반응에 대한 새로운 사실을 발견함으로써 관련 연구분야에서 당연시되어온 광촉매물 분해 및 수소발생 원리를 수정하고 수소생산 효율을 높일 수 있는 새로운 가능성을 제시했다.,2,에너지공학과 박현웅 교수가 포항공과대학교와 공동연구를 통해 지금까지 알려지지 않은 광촉매 수분해와 수소 발생 원리를 규명했다. 광촉매물 분해반응에 대한 새로운 사실을 발견함으로써 관련 연구분야에서 당연시되어온 광촉매물 분해 및 수소발생 원리를 수정하고 수소생산 효율을 높일 수 있는 새로운 가능성을 제시했다.
87,한국,Kyungpook, 에너지공학과 박현웅 교수가 포항공과대학교와 공동연구를 통해 지금까지 알려지지 않은 광촉매수분해와 수소발생 원리를 규명했다. 광촉매 물 분해 반응에 대한 새로운 사실을 발견함으로써 관련 연구 분야에서 당연시 되어온 광촉매 물 분해 및 수소 발생 원리를 수정하고 수소 생산 효율을 높일 수 있는 새로운 가능성을 제시했다.,6,에너지공학과 박현웅 교수가 포항공과대학교와 공동연구를 통해 지금까지 알려지지 않은 광촉매 수분해와 수소 발생 원리를 규명했다. 광촉매물 분해반응에 대한 새로운 사실을 발견함으로써 관련 연구분야에서 당연시되어온 광촉매물 분해 및 수소발생 원리를 수정하고 수소생산 효율을 높일 수 있는 새로운 가능성을 제시했다.,2,에너지공학과 박현웅 교수가 포항공과대학교와 공동연구를 통해 지금까지 알려지지 않은 광촉매 수분해와 수소 발생 원리를 규명했다. 광촉매물 분해반응에 대한 새로운 사실을 발견함으로써 관련 연구분야에서 당연시되어온 광촉매물 분해 및 수소발생 원리를 수정하고 수소생산 효율을 높일 수 있는 새로운 가능성을 제시했다.
50,한국,Kangwon,해양자원 보존을 위한 수중 정화활동 실시,14,해양자원 보존을 위한 수중정화활동 실시,2,해양자원 보존을 위한 수중정화활동 실시
36,한국,Kangwon,"통합경비, 승강기 설치에 대해 정부 조달계약시스템을 이용한 아웃소싱 계약 진행",12,"통합경비, 승강기 설치에 대해 정부조달 계약 시스템을 이용한 아웃소싱 계약 진행",2,"통합경비, 승강기 설치에 대해 정부조달 계약 시스템을 이용한 아웃소싱 계약 진행"
34,한국,Kangwon,깨끗한 물 공급을 위한 건물 내 정수기 운영,6,깨끗한 물 공급을 위한 건물 내정수기 운영,2,깨끗한 물 공급을 위한 건물 내정수기 운영
42,한국,Kangwon,"미세먼지 발생에 영향을 미치는 배출원 지역분석. 기상자료, 미세먼지 배출량 자료 등을 토대로 배출원 지역분석",13,"미세먼지 발생에 영향을 미치는 배출원 지역 분석. 기상자료, 미세먼지 배출량 자료 등을 토대로 배출원 지역 분석",2,"미세먼지 발생에 영향을 미치는 배출원 지역 분석. 기상자료, 미세먼지 배출량 자료 등을 토대로 배출원 지역 분석"
44,한국,Kangwon,강원권역 환경보건센터 심포지움 참가. 미세먼지 등의 환경 현안에 대한 논의,13,강원권역 환경보건센터 심포지움 참가.미세먼지 등의 환경 현안에 대한 논의,2, 등의 환경 현안에 대한 논의
41,한국,Kangwon,대기질예측연구 진행. 관심 지역마다 다른 주변 환경적 요인에 무게를 둔 미세먼지 연구 수행,13,대기질 예측 연구 진행.관심지역마다 다른 주변 환경적 요인에 무게를 둔 미세먼지 연구 수행,2, 다른 주변 환경적 요인에 무게를 둔 미세먼지 연구 수행
1,한국,Seoul,"기관별 상수 사용량
∙ 상수사용 총량 면에서는 공과대학이 연간 60만 톤으
로 가장 많은 상수소비량을 보였으며 다음으로 자연과
학대학, 수의과대학이 높은 순위를 기록하였습니다. 단
위면적당 상수 사용량 측면에서는 수의과대학, 공과대
학, 약학대학 순으로 나타났고, 용도로 구분하여 살펴
보면 식당 등이 입점해 있는 편의시설 건물의 상수사
용량이 가장 높은 것을 알 수 있습니다.",6,"기관별 상수 사용량 상수 사용 총량면에서는 공과대학이 연간 60만톤으로 가장 많은 상수 소비량을 보였으며 다음으로 자연과학대학, 수의과대학이 높은 순위를 기록하였습니다. 단위면적당상수 사용량 측면에서는 수의과대학, 공과대학, 약학대학 순으로 나타났고, 용도로 구분하여 살펴보면 식당 등이 입점해 있는 편의시설 건물의 상수 사용량이 가장 높은 것을 알 수 있습니다.",2,"기관별 상수 사용량 상수 사용 총량면에서는 공과대학이 연간 60만톤으로 가장 많은 상수 소비량을 보였으며 다음으로 자연과학대학, 수의과대학이 높은 순위를 기록하였습니다. 단위면적당상수 사용량 측면에서는 수의과대학, 공과대학, 약학대학 순으로 나타났고, 용도로 구분하여 살펴보면 식당 등이 입점해 있는 편의시설 건물의 상수 사용량이 가장 높은 것을 알 수 있습니다."
